Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 91, loss: 1.678398, validation acc: 0.842466, validation avg acc: 0.835843
Train 92, loss: 1.339461, train acc: 0.991319, train avg acc: 0.991777
Valdation 92, loss: 1.615010, validation acc: 0.880137, validation avg acc: 0.878333
Train 93, loss: 1.343109, train acc: 0.990451, train avg acc: 0.990249
Valdation 93, loss: 1.688633, validation acc: 0.852740, validation avg acc: 0.847881
Train 94, loss: 1.338706, train acc: 0.993056, train avg acc: 0.993379
Valdation 94, loss: 1.624063, validation acc: 0.869863, validation avg acc: 0.866327
Train 95, loss: 1.340689, train acc: 0.992188, train avg acc: 0.992727
Valdation 95, loss: 1.637005, validation acc: 0.866438, validation avg acc: 0.863500
Train 96, loss: 1.339276, train acc: 0.990451, train avg acc: 0.990626
Valdation 96, loss: 1.628240, validation acc: 0.859589, validation avg acc: 0.857721
Train 97, loss: 1.330501, train acc: 0.995660, train avg acc: 0.995821
Valdation 97, loss: 1.630999, validation acc: 0.873288, validation avg acc: 0.869257
Train 98, loss: 1.334429, train acc: 0.991319, train avg acc: 0.991913
Valdation 98, loss: 1.592318, validation acc: 0.869863, validation avg acc: 0.868601
Train 99, loss: 1.328089, train acc: 0.994792, train avg acc: 0.994882
Valdation 99, loss: 1.615399, validation acc: 0.886986, validation avg acc: 0.882239
Train 100, loss: 1.331830, train acc: 0.993056, train avg acc: 0.993307
Valdation 100, loss: 1.627464, validation acc: 0.852740, validation avg acc: 0.851289
Train 101, loss: 1.331773, train acc: 0.993924, train avg acc: 0.993945
Valdation 101, loss: 1.729557, validation acc: 0.828767, validation avg acc: 0.830212
Train 102, loss: 1.332474, train acc: 0.995660, train avg acc: 0.995837
Valdation 102, loss: 1.630279, validation acc: 0.856164, validation avg acc: 0.858552
Train 103, loss: 1.327619, train acc: 0.993924, train avg acc: 0.994296
Valdation 103, loss: 1.649267, validation acc: 0.866438, validation avg acc: 0.860582
Train 104, loss: 1.332458, train acc: 0.990451, train avg acc: 0.991028
Valdation 104, loss: 1.603561, validation acc: 0.883562, validation avg acc: 0.880135
Train 105, loss: 1.320699, train acc: 0.994792, train avg acc: 0.995118
Valdation 105, loss: 1.613966, validation acc: 0.866438, validation avg acc: 0.862967
Train 106, loss: 1.326932, train acc: 0.995660, train avg acc: 0.995669
Valdation 106, loss: 1.621421, validation acc: 0.863014, validation avg acc: 0.861029
Train 107, loss: 1.322077, train acc: 0.993924, train avg acc: 0.994323
Valdation 107, loss: 1.583213, validation acc: 0.886986, validation avg acc: 0.881809
Train 108, loss: 1.329711, train acc: 0.991319, train avg acc: 0.991115
Valdation 108, loss: 1.615356, validation acc: 0.880137, validation avg acc: 0.881230
Train 109, loss: 1.324767, train acc: 0.993056, train avg acc: 0.993520
Valdation 109, loss: 1.587091, validation acc: 0.876712, validation avg acc: 0.874195
Train 110, loss: 1.318037, train acc: 0.995660, train avg acc: 0.995925
Valdation 110, loss: 1.608159, validation acc: 0.869863, validation avg acc: 0.866913
Train 111, loss: 1.321118, train acc: 0.993924, train avg acc: 0.994158
Valdation 111, loss: 1.632399, validation acc: 0.856164, validation avg acc: 0.858727
Train 112, loss: 1.328940, train acc: 0.995660, train avg acc: 0.995936
Valdation 112, loss: 1.730543, validation acc: 0.825342, validation avg acc: 0.823612
Train 113, loss: 1.321229, train acc: 0.994792, train avg acc: 0.994900
