Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 81, loss: 1.762536, validation acc: 0.777397, validation avg acc: 0.774194
Train 82, loss: 1.322785, train acc: 0.994792, train avg acc: 0.995089
Valdation 82, loss: 1.693663, validation acc: 0.852740, validation avg acc: 0.849258
Train 83, loss: 1.318019, train acc: 0.998264, train avg acc: 0.998494
Valdation 83, loss: 1.808328, validation acc: 0.811644, validation avg acc: 0.815211
Train 84, loss: 1.326577, train acc: 0.992188, train avg acc: 0.992630
Valdation 84, loss: 1.819980, validation acc: 0.801370, validation avg acc: 0.802121
Train 85, loss: 1.324334, train acc: 0.995660, train avg acc: 0.995837
Valdation 85, loss: 1.705509, validation acc: 0.849315, validation avg acc: 0.845608
Train 86, loss: 1.317459, train acc: 0.994792, train avg acc: 0.995040
Valdation 86, loss: 1.705131, validation acc: 0.835616, validation avg acc: 0.831097
Train 87, loss: 1.313724, train acc: 0.996528, train avg acc: 0.996662
Valdation 87, loss: 1.748941, validation acc: 0.811644, validation avg acc: 0.810852
Train 88, loss: 1.312905, train acc: 0.997396, train avg acc: 0.997433
Valdation 88, loss: 1.712721, validation acc: 0.818493, validation avg acc: 0.818197
Train 89, loss: 1.313309, train acc: 0.996528, train avg acc: 0.996657
Valdation 89, loss: 1.684998, validation acc: 0.842466, validation avg acc: 0.838860
Train 90, loss: 1.311601, train acc: 0.994792, train avg acc: 0.995039
Valdation 90, loss: 1.803182, validation acc: 0.791096, validation avg acc: 0.786197
Train 91, loss: 1.313640, train acc: 0.996528, train avg acc: 0.996696
Valdation 91, loss: 1.782179, validation acc: 0.797945, validation avg acc: 0.790660
Train 92, loss: 1.305328, train acc: 0.998264, train avg acc: 0.998486
Valdation 92, loss: 1.748602, validation acc: 0.825342, validation avg acc: 0.823015
Train 93, loss: 1.312756, train acc: 0.995660, train avg acc: 0.995493
Valdation 93, loss: 1.739099, validation acc: 0.825342, validation avg acc: 0.824837
Train 94, loss: 1.314220, train acc: 0.994792, train avg acc: 0.995110
Valdation 94, loss: 1.741913, validation acc: 0.842466, validation avg acc: 0.836943
Train 95, loss: 1.307675, train acc: 0.996528, train avg acc: 0.996669
Valdation 95, loss: 1.705691, validation acc: 0.849315, validation avg acc: 0.847747
Train 96, loss: 1.312793, train acc: 0.997396, train avg acc: 0.997475
Valdation 96, loss: 1.676291, validation acc: 0.845890, validation avg acc: 0.840983
Train 97, loss: 1.312614, train acc: 0.996528, train avg acc: 0.996723
Valdation 97, loss: 1.843167, validation acc: 0.780822, validation avg acc: 0.781762
Train 98, loss: 1.310334, train acc: 0.995660, train avg acc: 0.995965
Valdation 98, loss: 1.773391, validation acc: 0.811644, validation avg acc: 0.817319
Train 99, loss: 1.316572, train acc: 0.993924, train avg acc: 0.994197
Valdation 99, loss: 1.793723, validation acc: 0.777397, validation avg acc: 0.768041
Train 100, loss: 1.312166, train acc: 0.997396, train avg acc: 0.997396
Valdation 100, loss: 1.771815, validation acc: 0.767123, validation avg acc: 0.753049
Train 101, loss: 1.309021, train acc: 0.997396, train avg acc: 0.997518
Valdation 101, loss: 1.799102, validation acc: 0.811644, validation avg acc: 0.813000
Train 102, loss: 1.307096, train acc: 0.993924, train avg acc: 0.994311
Valdation 102, loss: 1.688909, validation acc: 0.835616, validation avg acc: 0.835174
Train 103, loss: 1.301298, train acc: 0.998264, train avg acc: 0.998457
Valdation 103, loss: 1.685552, validation acc: 0.849315, validation avg acc: 0.849333
Train 104, loss: 1.306719, train acc: 0.996528, train avg acc: 0.996614
Valdation 104, loss: 1.742476, validation acc: 0.804795, validation avg acc: 0.793275
Train 105, loss: 1.306903, train acc: 0.996528, train avg acc: 0.996708
Valdation 105, loss: 1.787462, validation acc: 0.804795, validation avg acc: 0.809513
Train 106, loss: 1.306646, train acc: 0.995660, train avg acc: 0.995955
Valdation 106, loss: 1.717435, validation acc: 0.828767, validation avg acc: 0.822920
Train 107, loss: 1.303293, train acc: 0.995660, train avg acc: 0.995965
Valdation 107, loss: 1.693601, validation acc: 0.852740, validation avg acc: 0.850883
Train 108, loss: 1.302576, train acc: 0.998264, train avg acc: 0.998239
Valdation 108, loss: 1.693040, validation acc: 0.842466, validation avg acc: 0.841966
Train 109, loss: 1.302969, train acc: 0.997396, train avg acc: 0.997483
Valdation 109, loss: 1.704694, validation acc: 0.866438, validation avg acc: 0.861268
Train 110, loss: 1.304764, train acc: 0.997396, train avg acc: 0.997251
Valdation 110, loss: 1.726657, validation acc: 0.825342, validation avg acc: 0.828971
Train 111, loss: 1.300070, train acc: 0.998264, train avg acc: 0.998227
Valdation 111, loss: 1.717050, validation acc: 0.849315, validation avg acc: 0.845561
Train 112, loss: 1.306748, train acc: 0.996528, train avg acc: 0.996677
Valdation 112, loss: 1.785133, validation acc: 0.811644, validation avg acc: 0.810052
Train 113, loss: 1.300355, train acc: 0.998264, train avg acc: 0.998266
Valdation 113, loss: 1.784008, validation acc: 0.787671, validation avg acc: 0.780440
Train 114, loss: 1.298754, train acc: 0.996528, train avg acc: 0.996815
Valdation 114, loss: 1.808675, validation acc: 0.801370, validation avg acc: 0.801120
Train 115, loss: 1.297115, train acc: 0.997396, train avg acc: 0.997467
Valdation 115, loss: 1.726695, validation acc: 0.804795, validation avg acc: 0.804820
Train 116, loss: 1.300154, train acc: 0.998264, train avg acc: 0.998393
Valdation 116, loss: 1.753812, validation acc: 0.818493, validation avg acc: 0.816373
Train 117, loss: 1.295806, train acc: 0.998264, train avg acc: 0.998280
Valdation 117, loss: 1.682207, validation acc: 0.849315, validation avg acc: 0.849439
Train 118, loss: 1.297762, train acc: 0.997396, train avg acc: 0.997418
Valdation 118, loss: 1.704401, validation acc: 0.842466, validation avg acc: 0.842928
Train 119, loss: 1.301165, train acc: 0.995660, train avg acc: 0.995889
Valdation 119, loss: 1.676216, validation acc: 0.856164, validation avg acc: 0.851087
Train 120, loss: 1.296512, train acc: 0.997396, train avg acc: 0.997690
Valdation 120, loss: 1.689416, validation acc: 0.842466, validation avg acc: 0.842079
Train 121, loss: 1.296084, train acc: 0.997396, train avg acc: 0.997503
Valdation 121, loss: 1.708181, validation acc: 0.815068, validation avg acc: 0.813090
Train 122, loss: 1.300344, train acc: 0.998264, train avg acc: 0.998220
Valdation 122, loss: 1.779731, validation acc: 0.828767, validation avg acc: 0.822783
Train 123, loss: 1.298158, train acc: 0.999132, train avg acc: 0.999206
Valdation 123, loss: 1.706102, validation acc: 0.842466, validation avg acc: 0.842187
Train 124, loss: 1.296075, train acc: 0.997396, train avg acc: 0.997505
Valdation 124, loss: 1.746156, validation acc: 0.839041, validation avg acc: 0.834701
Train 125, loss: 1.295584, train acc: 0.996528, train avg acc: 0.996689
Valdation 125, loss: 1.674040, validation acc: 0.866438, validation avg acc: 0.860512
Train 126, loss: 1.290949, train acc: 1.000000, train avg acc: 1.000000
Valdation 126, loss: 1.672921, validation acc: 0.856164, validation avg acc: 0.855369
Train 127, loss: 1.293699, train acc: 0.998264, train avg acc: 0.998419
Valdation 127, loss: 1.680350, validation acc: 0.852740, validation avg acc: 0.853590
Train 128, loss: 1.293501, train acc: 0.997396, train avg acc: 0.997562
Valdation 128, loss: 1.683055, validation acc: 0.842466, validation avg acc: 0.835774
Train 129, loss: 1.298725, train acc: 0.999132, train avg acc: 0.999179
Valdation 129, loss: 1.702882, validation acc: 0.828767, validation avg acc: 0.832886
Train 130, loss: 1.296544, train acc: 0.997396, train avg acc: 0.997406
Valdation 130, loss: 1.780114, validation acc: 0.818493, validation avg acc: 0.814288
Train 131, loss: 1.294520, train acc: 0.999132, train avg acc: 0.999278
Valdation 131, loss: 1.690514, validation acc: 0.863014, validation avg acc: 0.863573
Train 132, loss: 1.290912, train acc: 0.997396, train avg acc: 0.997450
Valdation 132, loss: 1.681892, validation acc: 0.832192, validation avg acc: 0.832881
Train 133, loss: 1.294438, train acc: 0.999132, train avg acc: 0.999278
Valdation 133, loss: 1.654396, validation acc: 0.863014, validation avg acc: 0.862211
Train 134, loss: 1.293088, train acc: 0.997396, train avg acc: 0.997598
Valdation 134, loss: 1.693903, validation acc: 0.859589, validation avg acc: 0.855641
Train 135, loss: 1.291257, train acc: 0.998264, train avg acc: 0.998450
Valdation 135, loss: 1.676435, validation acc: 0.845890, validation avg acc: 0.841214
Train 136, loss: 1.294496, train acc: 0.999132, train avg acc: 0.999060
Valdation 136, loss: 1.687434, validation acc: 0.842466, validation avg acc: 0.836501
Train 137, loss: 1.289254, train acc: 0.998264, train avg acc: 0.998292
Valdation 137, loss: 1.693050, validation acc: 0.852740, validation avg acc: 0.852421
Train 138, loss: 1.288227, train acc: 0.999132, train avg acc: 0.999048
Valdation 138, loss: 1.667117, validation acc: 0.849315, validation avg acc: 0.842267
Train 139, loss: 1.290264, train acc: 0.998264, train avg acc: 0.998227
Valdation 139, loss: 1.677298, validation acc: 0.849315, validation avg acc: 0.845414
Train 140, loss: 1.288670, train acc: 0.999132, train avg acc: 0.999060
Valdation 140, loss: 1.667906, validation acc: 0.859589, validation avg acc: 0.860019
Train 141, loss: 1.290442, train acc: 0.998264, train avg acc: 0.998263
Valdation 141, loss: 1.697385, validation acc: 0.845890, validation avg acc: 0.846493
Train 142, loss: 1.297502, train acc: 0.994792, train avg acc: 0.995021
Valdation 142, loss: 1.694507, validation acc: 0.845890, validation avg acc: 0.839721
Train 143, loss: 1.291004, train acc: 0.999132, train avg acc: 0.999060
Valdation 143, loss: 1.666828, validation acc: 0.852740, validation avg acc: 0.850652
Train 144, loss: 1.287154, train acc: 1.000000, train avg acc: 1.000000
Valdation 144, loss: 1.688638, validation acc: 0.842466, validation avg acc: 0.836942
Train 145, loss: 1.288521, train acc: 1.000000, train avg acc: 1.000000
Valdation 145, loss: 1.687662, validation acc: 0.849315, validation avg acc: 0.851509
Train 146, loss: 1.291137, train acc: 1.000000, train avg acc: 1.000000
