Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 110, loss: 1.430645, train acc: 0.955729, train avg acc: 0.955749
Valdation 110, loss: 2.843714, validation acc: 0.558219, validation avg acc: 0.532172
Train 111, loss: 1.446860, train acc: 0.951389, train avg acc: 0.948753
Valdation 111, loss: 2.807683, validation acc: 0.534247, validation avg acc: 0.509600
Train 112, loss: 1.442804, train acc: 0.953125, train avg acc: 0.952518
Valdation 112, loss: 2.913260, validation acc: 0.523973, validation avg acc: 0.506114
Train 113, loss: 1.431949, train acc: 0.961806, train avg acc: 0.960446
Valdation 113, loss: 2.886188, validation acc: 0.493151, validation avg acc: 0.464768
Train 114, loss: 1.422679, train acc: 0.965278, train avg acc: 0.965101
Valdation 114, loss: 2.961180, validation acc: 0.486301, validation avg acc: 0.462018
Train 115, loss: 1.429816, train acc: 0.961806, train avg acc: 0.961123
Valdation 115, loss: 2.922401, validation acc: 0.523973, validation avg acc: 0.494809
Train 116, loss: 1.421774, train acc: 0.968750, train avg acc: 0.968435
Valdation 116, loss: 2.920249, validation acc: 0.513699, validation avg acc: 0.490494
Train 117, loss: 1.446815, train acc: 0.955729, train avg acc: 0.955424
Valdation 117, loss: 2.854372, validation acc: 0.506849, validation avg acc: 0.481520
Train 118, loss: 1.411010, train acc: 0.973958, train avg acc: 0.972845
Valdation 118, loss: 2.635025, validation acc: 0.589041, validation avg acc: 0.561525
Train 119, loss: 1.436572, train acc: 0.958333, train avg acc: 0.957357
Valdation 119, loss: 2.981071, validation acc: 0.476027, validation avg acc: 0.455666
Train 120, loss: 1.426239, train acc: 0.953125, train avg acc: 0.952963
Valdation 120, loss: 2.859000, validation acc: 0.517123, validation avg acc: 0.492823
Train 121, loss: 1.413361, train acc: 0.956597, train avg acc: 0.954398
Valdation 121, loss: 2.703485, validation acc: 0.554795, validation avg acc: 0.525378
Train 122, loss: 1.429276, train acc: 0.965278, train avg acc: 0.964631
Valdation 122, loss: 2.983844, validation acc: 0.506849, validation avg acc: 0.481180
Train 123, loss: 1.404708, train acc: 0.973958, train avg acc: 0.974381
Valdation 123, loss: 2.518042, validation acc: 0.609589, validation avg acc: 0.582567
Train 124, loss: 1.403214, train acc: 0.971354, train avg acc: 0.971745
Valdation 124, loss: 2.953810, validation acc: 0.520548, validation avg acc: 0.491549
Train 125, loss: 1.438048, train acc: 0.959201, train avg acc: 0.957977
Valdation 125, loss: 2.515714, validation acc: 0.609589, validation avg acc: 0.587378
Train 126, loss: 1.424918, train acc: 0.959201, train avg acc: 0.957869
Valdation 126, loss: 2.581444, validation acc: 0.578767, validation avg acc: 0.556006
Train 127, loss: 1.409681, train acc: 0.962674, train avg acc: 0.961276
Valdation 127, loss: 3.102162, validation acc: 0.462329, validation avg acc: 0.435311
Train 128, loss: 1.412008, train acc: 0.966146, train avg acc: 0.965588
Valdation 128, loss: 2.561310, validation acc: 0.575342, validation avg acc: 0.553535
Train 129, loss: 1.420565, train acc: 0.967014, train avg acc: 0.966674
Valdation 129, loss: 2.729190, validation acc: 0.510274, validation avg acc: 0.486640
Train 130, loss: 1.407914, train acc: 0.971354, train avg acc: 0.970378
Valdation 130, loss: 3.131157, validation acc: 0.462329, validation avg acc: 0.435937
Train 131, loss: 1.419228, train acc: 0.966146, train avg acc: 0.965923
Valdation 131, loss: 2.835025, validation acc: 0.520548, validation avg acc: 0.499772
Train 132, loss: 1.426503, train acc: 0.959201, train avg acc: 0.958560
Valdation 132, loss: 2.718260, validation acc: 0.558219, validation avg acc: 0.535623
Train 133, loss: 1.400793, train acc: 0.974826, train avg acc: 0.973766
Valdation 133, loss: 2.824622, validation acc: 0.510274, validation avg acc: 0.487125
Train 134, loss: 1.410541, train acc: 0.968750, train avg acc: 0.966626
Valdation 134, loss: 2.626084, validation acc: 0.565068, validation avg acc: 0.544939
Train 135, loss: 1.401852, train acc: 0.970486, train avg acc: 0.970557
Valdation 135, loss: 2.985545, validation acc: 0.517123, validation avg acc: 0.489585
Train 136, loss: 1.394253, train acc: 0.973090, train avg acc: 0.972916
Valdation 136, loss: 3.005096, validation acc: 0.486301, validation avg acc: 0.458933
Train 137, loss: 1.388268, train acc: 0.973958, train avg acc: 0.973333
Valdation 137, loss: 2.619317, validation acc: 0.592466, validation avg acc: 0.571796
Train 138, loss: 1.394085, train acc: 0.974826, train avg acc: 0.974718
Valdation 138, loss: 2.623972, validation acc: 0.568493, validation avg acc: 0.541667
Train 139, loss: 1.391379, train acc: 0.979167, train avg acc: 0.978579
Valdation 139, loss: 2.700951, validation acc: 0.565068, validation avg acc: 0.543150
Train 140, loss: 1.412213, train acc: 0.967014, train avg acc: 0.966445
Valdation 140, loss: 2.850023, validation acc: 0.517123, validation avg acc: 0.490899
Train 141, loss: 1.388409, train acc: 0.976562, train avg acc: 0.974846
Valdation 141, loss: 2.821645, validation acc: 0.534247, validation avg acc: 0.511215
Train 142, loss: 1.381310, train acc: 0.981771, train avg acc: 0.981241
Valdation 142, loss: 2.749696, validation acc: 0.554795, validation avg acc: 0.529244
Train 143, loss: 1.405016, train acc: 0.968750, train avg acc: 0.968598
Valdation 143, loss: 2.988630, validation acc: 0.513699, validation avg acc: 0.486119
Train 144, loss: 1.384421, train acc: 0.977431, train avg acc: 0.976913
Valdation 144, loss: 2.899239, validation acc: 0.472603, validation avg acc: 0.450241
Train 145, loss: 1.397543, train acc: 0.967882, train avg acc: 0.967673
Valdation 145, loss: 2.957631, validation acc: 0.544521, validation avg acc: 0.517778
Train 146, loss: 1.395522, train acc: 0.975694, train avg acc: 0.976362
Valdation 146, loss: 2.692968, validation acc: 0.565068, validation avg acc: 0.543300
Train 147, loss: 1.384076, train acc: 0.973090, train avg acc: 0.973595
Valdation 147, loss: 2.416177, validation acc: 0.613014, validation avg acc: 0.591819
Train 148, loss: 1.379074, train acc: 0.981771, train avg acc: 0.980618
Valdation 148, loss: 2.665938, validation acc: 0.547945, validation avg acc: 0.523109
Train 149, loss: 1.390702, train acc: 0.975694, train avg acc: 0.975017
Valdation 149, loss: 2.860178, validation acc: 0.530822, validation avg acc: 0.505086
Train 150, loss: 1.392423, train acc: 0.982639, train avg acc: 0.982969
Valdation 150, loss: 2.917214, validation acc: 0.520548, validation avg acc: 0.496462
Train 151, loss: 1.369922, train acc: 0.979167, train avg acc: 0.979671
Valdation 151, loss: 2.940200, validation acc: 0.523973, validation avg acc: 0.498107
Train 152, loss: 1.381301, train acc: 0.976562, train avg acc: 0.976237
Valdation 152, loss: 2.969791, validation acc: 0.547945, validation avg acc: 0.519845
Train 153, loss: 1.382519, train acc: 0.977431, train avg acc: 0.976326
Valdation 153, loss: 2.982906, validation acc: 0.517123, validation avg acc: 0.489485
Train 154, loss: 1.381490, train acc: 0.979167, train avg acc: 0.978537
Valdation 154, loss: 3.013116, validation acc: 0.476027, validation avg acc: 0.449670
Train 155, loss: 1.368226, train acc: 0.986979, train avg acc: 0.987352
Valdation 155, loss: 2.922914, validation acc: 0.510274, validation avg acc: 0.485528
Train 156, loss: 1.384365, train acc: 0.976562, train avg acc: 0.976374
Valdation 156, loss: 2.714427, validation acc: 0.530822, validation avg acc: 0.506749
Train 157, loss: 1.367606, train acc: 0.984375, train avg acc: 0.984349
Valdation 157, loss: 2.488920, validation acc: 0.575342, validation avg acc: 0.555221
Train 158, loss: 1.376269, train acc: 0.982639, train avg acc: 0.983179
Valdation 158, loss: 2.818681, validation acc: 0.547945, validation avg acc: 0.519921
Train 159, loss: 1.387162, train acc: 0.971354, train avg acc: 0.971324
Valdation 159, loss: 2.878999, validation acc: 0.551370, validation avg acc: 0.524510
Train 160, loss: 1.383670, train acc: 0.982639, train avg acc: 0.982674
Valdation 160, loss: 2.737764, validation acc: 0.547945, validation avg acc: 0.523447
Train 161, loss: 1.384142, train acc: 0.975694, train avg acc: 0.974805
Valdation 161, loss: 2.679495, validation acc: 0.534247, validation avg acc: 0.508541
Train 162, loss: 1.386324, train acc: 0.976562, train avg acc: 0.975530
Valdation 162, loss: 2.943898, validation acc: 0.506849, validation avg acc: 0.478228
Train 163, loss: 1.377502, train acc: 0.978299, train avg acc: 0.978124
Valdation 163, loss: 2.811005, validation acc: 0.554795, validation avg acc: 0.528618
Train 164, loss: 1.380587, train acc: 0.978299, train avg acc: 0.977386
Valdation 164, loss: 2.662449, validation acc: 0.582192, validation avg acc: 0.553522
Train 165, loss: 1.377155, train acc: 0.978299, train avg acc: 0.977382
