Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 62, loss: 1.847639, validation acc: 0.756849, validation avg acc: 0.750752
Train 63, loss: 1.377114, train acc: 0.988715, train avg acc: 0.989087
Valdation 63, loss: 1.763763, validation acc: 0.811644, validation avg acc: 0.811490
Train 64, loss: 1.380212, train acc: 0.984375, train avg acc: 0.984439
Valdation 64, loss: 1.779145, validation acc: 0.801370, validation avg acc: 0.797571
Train 65, loss: 1.372043, train acc: 0.991319, train avg acc: 0.991582
Valdation 65, loss: 1.803080, validation acc: 0.794521, validation avg acc: 0.790072
Train 66, loss: 1.368416, train acc: 0.990451, train avg acc: 0.990698
Valdation 66, loss: 1.945430, validation acc: 0.719178, validation avg acc: 0.718389
Train 67, loss: 1.374200, train acc: 0.986111, train avg acc: 0.986467
Valdation 67, loss: 1.889155, validation acc: 0.787671, validation avg acc: 0.784245
Train 68, loss: 1.372258, train acc: 0.991319, train avg acc: 0.991967
Valdation 68, loss: 1.766990, validation acc: 0.787671, validation avg acc: 0.791346
Train 69, loss: 1.367645, train acc: 0.987847, train avg acc: 0.988139
Valdation 69, loss: 1.769951, validation acc: 0.804795, validation avg acc: 0.805918
Train 70, loss: 1.362388, train acc: 0.988715, train avg acc: 0.989155
Valdation 70, loss: 1.804570, validation acc: 0.777397, validation avg acc: 0.780886
Train 71, loss: 1.368695, train acc: 0.981771, train avg acc: 0.981928
Valdation 71, loss: 1.860778, validation acc: 0.756849, validation avg acc: 0.754478
Train 72, loss: 1.358490, train acc: 0.989583, train avg acc: 0.990228
Valdation 72, loss: 1.882506, validation acc: 0.770548, validation avg acc: 0.766543
Train 73, loss: 1.361716, train acc: 0.990451, train avg acc: 0.990995
Valdation 73, loss: 1.833859, validation acc: 0.756849, validation avg acc: 0.759606
Train 74, loss: 1.356613, train acc: 0.991319, train avg acc: 0.991567
Valdation 74, loss: 1.843336, validation acc: 0.760274, validation avg acc: 0.756001
Train 75, loss: 1.359138, train acc: 0.988715, train avg acc: 0.988999
Valdation 75, loss: 1.805026, validation acc: 0.784247, validation avg acc: 0.781315
Train 76, loss: 1.347866, train acc: 0.993056, train avg acc: 0.992997
Valdation 76, loss: 1.843364, validation acc: 0.763699, validation avg acc: 0.760319
Train 77, loss: 1.346639, train acc: 0.993056, train avg acc: 0.993390
Valdation 77, loss: 1.858200, validation acc: 0.773973, validation avg acc: 0.770208
Train 78, loss: 1.348697, train acc: 0.989583, train avg acc: 0.990284
Valdation 78, loss: 1.809842, validation acc: 0.787671, validation avg acc: 0.793560
Train 79, loss: 1.347674, train acc: 0.990451, train avg acc: 0.989988
Valdation 79, loss: 1.847220, validation acc: 0.756849, validation avg acc: 0.760565
Train 80, loss: 1.343831, train acc: 0.992188, train avg acc: 0.992656
Valdation 80, loss: 1.789136, validation acc: 0.804795, validation avg acc: 0.806334
Train 81, loss: 1.334462, train acc: 0.997396, train avg acc: 0.997462
Valdation 81, loss: 1.789865, validation acc: 0.821918, validation avg acc: 0.821429
Train 82, loss: 1.342004, train acc: 0.993056, train avg acc: 0.993372
Valdation 82, loss: 1.882882, validation acc: 0.736301, validation avg acc: 0.731554
Train 83, loss: 1.336892, train acc: 0.994792, train avg acc: 0.995016
Valdation 83, loss: 1.820568, validation acc: 0.770548, validation avg acc: 0.772861
Train 84, loss: 1.334041, train acc: 0.997396, train avg acc: 0.997550
