Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 94, loss: 1.324508, train acc: 0.995660, train avg acc: 0.995992
Valdation 94, loss: 1.643748, validation acc: 0.866438, validation avg acc: 0.865474
Train 95, loss: 1.314094, train acc: 0.995660, train avg acc: 0.995875
Valdation 95, loss: 1.631920, validation acc: 0.859589, validation avg acc: 0.862594
Train 96, loss: 1.318591, train acc: 0.993056, train avg acc: 0.993484
Valdation 96, loss: 1.653649, validation acc: 0.863014, validation avg acc: 0.859699
Train 97, loss: 1.311231, train acc: 0.995660, train avg acc: 0.995668
Valdation 97, loss: 1.802669, validation acc: 0.808219, validation avg acc: 0.804394
Train 98, loss: 1.316630, train acc: 0.995660, train avg acc: 0.995599
Valdation 98, loss: 1.634116, validation acc: 0.876712, validation avg acc: 0.874551
Train 99, loss: 1.315988, train acc: 0.994792, train avg acc: 0.994981
Valdation 99, loss: 1.629294, validation acc: 0.869863, validation avg acc: 0.868130
Train 100, loss: 1.313553, train acc: 0.997396, train avg acc: 0.997532
Valdation 100, loss: 1.662026, validation acc: 0.845890, validation avg acc: 0.841610
Train 101, loss: 1.314818, train acc: 0.996528, train avg acc: 0.996786
Valdation 101, loss: 1.714796, validation acc: 0.842466, validation avg acc: 0.845479
Train 102, loss: 1.318069, train acc: 0.995660, train avg acc: 0.995946
Valdation 102, loss: 1.758027, validation acc: 0.780822, validation avg acc: 0.778989
Train 103, loss: 1.310028, train acc: 0.994792, train avg acc: 0.995108
Valdation 103, loss: 1.649561, validation acc: 0.859589, validation avg acc: 0.855218
Train 104, loss: 1.311450, train acc: 0.996528, train avg acc: 0.996748
Valdation 104, loss: 1.649080, validation acc: 0.859589, validation avg acc: 0.855669
Train 105, loss: 1.306155, train acc: 0.996528, train avg acc: 0.996818
Valdation 105, loss: 1.639895, validation acc: 0.869863, validation avg acc: 0.864793
Train 106, loss: 1.313161, train acc: 0.997396, train avg acc: 0.997579
Valdation 106, loss: 1.648402, validation acc: 0.869863, validation avg acc: 0.868279
Train 107, loss: 1.304558, train acc: 0.999132, train avg acc: 0.999060
Valdation 107, loss: 1.627907, validation acc: 0.869863, validation avg acc: 0.865945
Train 108, loss: 1.303298, train acc: 0.997396, train avg acc: 0.997399
Valdation 108, loss: 1.672564, validation acc: 0.835616, validation avg acc: 0.833082
Train 109, loss: 1.306168, train acc: 0.998264, train avg acc: 0.998250
Valdation 109, loss: 1.607912, validation acc: 0.869863, validation avg acc: 0.869415
Train 110, loss: 1.306409, train acc: 0.997396, train avg acc: 0.997540
Valdation 110, loss: 1.646292, validation acc: 0.866438, validation avg acc: 0.864305
Train 111, loss: 1.308820, train acc: 0.997396, train avg acc: 0.997406
Valdation 111, loss: 1.604561, validation acc: 0.863014, validation avg acc: 0.860880
